Step,Temp,E_pair,TotEng,Press
15900,1631.5774,-2250.4709,-2142.702,-342.63229
16000,1603.8919,-2249.0878,-2143.1476,-3945.43
16100,1588.6277,-2264.3224,-2159.3905,11027.108
16200,1583.9801,-2257.0072,-2152.3822,-8141.5857
16300,1492.8945,-2248.6842,-2150.0757,4936.1718
16400,1707.3197,-2244.5252,-2131.7535,1598.3181
16500,1690.0164,-2247.8597,-2136.2308,-3542.7828
16600,1646.5469,-2259.8236,-2151.066,1188.0842
16700,1663.6124,-2246.7556,-2136.8708,2101.7565
16800,1619.4166,-2246.2089,-2139.2433,-4040.7009
16900,1692.7324,-2247.55,-2135.7417,2427.5844
17000,1798.1787,-2260.6553,-2141.8821,4258.2921
17100,1629.9545,-2251.6954,-2144.0338,-6092.9062
17200,1742.0954,-2247.6691,-2132.6003,6645.1438
17300,1678.4739,-2236.6493,-2125.7828,-2365.6757
17400,1706.9798,-2251.7335,-2138.9842,-2229.9075
17500,1803.4239,-2245.4714,-2126.3518,5538.6079
17600,1706.8472,-2245.5723,-2132.8317,-3563.4897
17700,1800.4415,-2240.5423,-2121.6196,4107.5355
17800,1772.4342,-2236.0112,-2118.9385,1757.4024
17900,1790.7689,-2244.083,-2125.7992,-5560.6672
18000,1777.3219,-2242.9204,-2125.5248,5515.9326
18100,1842.7007,-2245.2667,-2123.5528,-8929.4809
18200,1839.128,-2233.3116,-2111.8336,8383.9074
18300,1918.5285,-2236.471,-2109.7484,3347.3687
18400,1824.5293,-2242.5501,-2122.0364,-5088.5233
18500,1811.9699,-2245.3938,-2125.7097,2602.9439
18600,1920.8708,-2227.1078,-2100.2306,-5479.9668
18700,1923.0244,-2233.2524,-2106.233,4514.9438
18800,1799.717,-2230.7952,-2111.9204,6599.4631
18900,1854.5127,-2237.511,-2115.0168,365.09205
19000,1826.2777,-2229.905,-2109.2759,2356.788
19100,1784.6619,-2240.4431,-2122.5627,-2854.1963
19200,1921.8841,-2222.3819,-2095.4377,-3365.4666
19300,1977.2367,-2232.2172,-2101.6169,-1277.1876
19400,1847.3471,-2240.5745,-2118.5536,-3192.4199
19500,2033.3213,-2231.136,-2096.8312,-2914.0463
19600,1833.763,-2224.9269,-2103.8033,3835.7211
19700,2017.9385,-2226.0139,-2092.7252,-8468.5022
19800,1877.6573,-2231.3857,-2107.3628,5812.205
19900,1888.4989,-2237.9802,-2113.2412,2855.6188
20000,1922.0883,-2228.849,-2101.8914,-4694.8472
20100,2099.9894,-2209.8576,-2071.1492,3451.1722
20200,2155.495,-2232.7181,-2090.3435,-578.58246
20300,2069.2857,-2222.7536,-2086.0732,1018.27
20400,2006.8006,-2232.978,-2100.425,-13477.384
20500,2079.4142,-2212.9547,-2075.6054,3597.7065
20600,2150.5115,-2226.2385,-2084.1931,-3530.8064
20700,1992.5608,-2213.4323,-2081.8198,-8060.9638
20800,2113.6179,-2217.4865,-2077.878,543.30751
20900,2096.6568,-2232.7226,-2094.2343,5357.5656
21000,2156.5802,-2210.7284,-2068.2821,-11431.545
21100,2302.9061,-2207.3969,-2055.2855,3424.8968
21200,2228.2433,-2217.6645,-2070.4848,2054.9282
21300,2159.7343,-2233.7128,-2091.0581,732.30168
21400,2098.1396,-2218.1768,-2079.5906,-1110.7487
21500,2263.7838,-2206.0171,-2056.4898,902.69083
21600,2221.7146,-2216.8135,-2070.065,-6878.2492
21700,2203.8318,-2221.9064,-2076.339,7081.1148
21800,2157.5013,-2203.1845,-2060.6773,-3508.3866
21900,2161.176,-2221.0918,-2078.3419,6711.6742
22000,2272.2421,-2208.0353,-2057.9493,1515.3338
22100,2418.6148,-2206.6194,-2046.8652,-1489.1858
22200,2095.1788,-2218.3252,-2079.9346,582.86052
22300,2196.0403,-2203.3581,-2058.3054,-1341.2952
22400,2169.8572,-2209.7885,-2066.4652,-4234.5607
22500,2318.1477,-2214.3228,-2061.2047,5010.3125
22600,2231.7786,-2199.5618,-2052.1485,-2608.7551
22700,2310.0792,-2214.9391,-2062.3539,-2067.7167
22800,2272.8918,-2209.8812,-2059.7523,-3334.4005
22900,2327.0349,-2205.639,-2051.9338,-964.19501
23000,2380.4973,-2202.8749,-2045.6385,5822.5775
23100,2302.0871,-2207.4977,-2055.4404,373.21098
23200,2334.6796,-2208.5671,-2054.357,-3604.368
23300,2318.0909,-2196.2537,-2043.1393,710.21757
23400,2357.2086,-2205.0762,-2049.378,-2865.1371
23500,2267.4525,-2197.0554,-2047.2858,1320.2358
23600,2312.78,-2201.7389,-2048.9754,5013.3492
23700,2378.6779,-2196.4148,-2039.2985,-1403.34
23800,2249.3654,-2217.2328,-2068.6579,465.14885
23900,2397.7785,-2194.1087,-2035.7308,-4174.6048
24000,2419.3421,-2204.6886,-2044.8864,-6065.3918
24100,2442.912,-2204.0566,-2042.6976,7396.4544
24200,2676.8739,-2195.6334,-2018.8207,3889.4129
24300,2412.467,-2191.5582,-2032.2101,-8436.1322
24400,2412.5108,-2202.5969,-2043.2458,5071.8134
24500,2374.4787,-2196.0387,-2039.1998,1516.7547
24600,2501.5453,-2190.2575,-2025.0256,-5893.4883
24700,2402.0949,-2188.2895,-2029.6265,6102.4737
24800,2523.1418,-2197.1482,-2030.4898,-4842.086
24900,2417.8722,-2195.8193,-2036.1142,6756.4811
25000,2467.2697,-2194.9065,-2031.9386,7576.2586
25100,2489.5068,-2187.2511,-2022.8143,-3872.7538
25200,2541.1307,-2190.8163,-2022.9697,-2439.7874
25300,2567.384,-2190.6924,-2021.1117,-7693.7636
25400,2548.0117,-2187.6908,-2019.3897,-2399.3417
25500,2479.0413,-2191.6642,-2027.9187,13558.967
25600,2716.6947,-2189.3381,-2009.8952,2908.6693
25700,2583.7082,-2190.5111,-2019.8522,-64.89896
